,Lng,Lat,tradeTime,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,Price_Level_Per_Square_Meter
0,116.475489,40.01952,8/9/16,106,415.0,31680,131.0,2,1,1,1,1,2005,3,6,0.217,1,0,1,7,3
1,116.45391699999999,39.881534,7/28/16,126,575.0,43436,132.38,2,2,1,2,1,2004,4,6,0.667,1,1,0,7,4
2,116.561978,39.877145,12/11/16,48,1030.0,52021,198.0,3,2,1,3,4,2005,3,6,0.5,1,0,0,7,5
3,116.43801,40.076114000000004,9/30/16,138,297.5,22202,134.0,3,1,1,1,1,2008,1,6,0.273,1,0,0,6,2
4,116.42839199999999,39.886229,8/28/16,286,392.0,48396,81.0,2,1,1,1,4,1960,2,2,0.33299999999999996,0,1,1,1,4
5,116.46628,39.991363,7/22/16,57,275.6,52000,53.0,1,0,1,1,4,2005,3,6,0.33299999999999996,1,1,0,7,5
6,116.48258600000001,39.891991,7/14/16,167,275.0,37672,73.0,2,1,1,1,4,1997,4,2,0.5,0,0,0,7,3
7,116.45391699999999,39.881534,9/7/16,138,800.0,49521,161.55,3,2,1,2,1,2004,4,6,0.667,1,1,0,7,4
8,116.555729,40.162058,9/4/16,218,134.0,27917,48.0,1,0,1,1,3,2009,1,2,0.33299999999999996,0,0,0,13,2
9,116.45308600000001,39.898396999999996,9/5/16,134,380.0,55883,68.0,1,0,0,0,1,2009,4,6,0.308,1,1,1,1,5
10,116.555729,40.162058,8/3/16,74,126.0,26250,48.0,1,1,1,1,3,2009,3,2,0.33299999999999996,0,1,0,13,2
11,116.399018,39.978141,8/17/16,65,896.0,91710,97.7,3,1,1,1,4,1991,3,2,0.33299999999999996,0,1,1,10,9
12,116.29628600000001,39.870107,6/17/16,90,285.0,35568,80.13,1,1,1,1,1,2001,4,6,0.222,1,0,1,2,3
13,116.32921999999999,39.892447,9/20/16,76,360.0,60607,59.4,2,1,1,1,1,1990,3,6,0.25,1,0,1,2,6
14,116.405549,39.975629,7/22/16,39,700.0,39115,178.96,4,1,1,1,1,1997,3,6,0.33299999999999996,1,1,1,7,3
15,116.284755,39.93453,9/17/16,6,212.0,32981,64.28,1,0,1,1,1,2009,3,6,0.111,1,0,1,8,3
16,116.603852,39.893276,6/20/16,130,336.0,30189,111.3,2,1,1,1,4,2008,4,6,0.16699999999999998,1,1,0,7,3
17,116.284755,39.93453,8/23/16,41,174.6,33577,52.0,1,0,1,1,1,2009,3,6,0.111,1,0,1,8,3
18,116.507351,39.934957,7/15/16,20,1950.0,63228,308.41,5,2,1,4,4,2011,4,6,1.0,1,0,1,7,6
19,116.448302,39.960966,7/28/16,276,176.0,29000,60.69,1,1,1,1,1,2008,4,6,0.364,1,1,0,7,2
20,116.432142,39.902353999999995,7/26/16,115,520.0,87176,59.65,1,1,1,1,3,2005,4,6,0.5,1,1,1,1,8
21,116.45371200000001,39.940847,12/4/16,84,1580.0,74999,210.67,4,2,1,3,4,2000,4,6,0.5,1,1,0,7,7
22,116.486595,39.917578000000006,7/25/16,17,1150.0,52668,218.35,4,2,1,2,4,2005,4,6,0.33299999999999996,1,1,1,7,5
23,116.47551499999999,40.008231,6/29/16,83,213.0,36417,58.49,1,0,1,0,3,2004,3,6,0.429,1,0,1,7,3
24,116.37301399999998,39.859478,6/27/16,119,160.0,30189,53.0,1,1,1,1,1,1998,3,6,0.25,1,1,1,2,3
25,116.284755,39.93453,10/30/16,13,210.0,40385,52.0,1,0,1,1,1,2009,3,6,0.111,1,0,1,8,4
26,116.45072900000001,39.977923,8/15/16,37,1750.0,85366,205.0,3,2,1,2,4,2010,2,6,0.667,1,0,1,7,8
27,116.369475,40.069842,7/12/16,85,630.0,39378,159.99,3,2,1,2,4,2004,4,2,0.5,0,1,0,8,3
28,116.480923,39.900942,9/20/16,31,845.0,33988,248.62,2,2,1,2,4,2004,4,6,1.0,1,0,1,7,3
29,116.43414399999999,39.892210999999996,8/8/16,78,723.0,65407,110.54,3,1,1,1,4,1996,4,2,0.33299999999999996,0,1,1,1,6
30,116.376709,39.867222,6/19/16,57,240.0,42165,56.92,2,1,1,1,1,1996,3,6,0.25,1,0,1,2,4
31,116.48529599999999,39.991732,9/27/16,268,590.0,51687,114.15,2,2,1,1,1,2001,1,6,0.375,1,0,1,7,5
32,116.416572,40.063190999999996,9/8/16,19,354.5,50672,69.96,3,1,1,2,3,2010,1,6,0.2,1,0,1,6,5
33,116.257104,39.873962,9/28/16,138,210.0,44436,47.26,1,1,1,1,3,2011,3,6,0.098,1,0,1,2,4
34,116.513848,39.875068,7/6/16,115,218.0,29416,74.11,2,1,1,1,4,1993,3,4,0.25,0,1,1,7,2
35,116.257104,39.873962,8/21/16,62,140.0,25455,55.0,1,0,1,1,3,2011,4,6,0.098,1,0,1,2,2
36,116.56757900000001,40.076173,8/30/16,114,340.0,24029,141.5,3,2,1,2,3,2004,4,2,0.25,1,1,0,13,2
37,116.493655,39.905367,8/26/16,212,540.0,58888,91.7,2,2,1,1,1,2006,4,6,0.429,1,1,1,7,5
38,116.297022,39.788637,6/25/16,52,110.0,27195,40.45,1,1,1,1,4,2002,3,2,0.5,0,1,0,4,2
39,116.23236499999999,40.235529,8/3/16,6,170.0,22078,77.0,2,1,1,1,4,ÃÂ´ÃÂª,1,2,0.33299999999999996,0,1,0,6,2
40,116.4388,40.054941,7/28/16,76,340.0,64151,53.0,1,1,1,1,3,2011,4,6,0.174,1,0,1,7,6
41,116.190634,39.768886,8/5/16,77,245.0,30625,80.0,2,1,1,1,4,2012,4,6,0.5,1,0,1,5,3
42,116.330345,39.984336,8/14/16,114,610.0,103566,58.9,2,1,1,1,4,1989,4,2,0.33299999999999996,0,0,1,8,9
43,116.25421200000001,40.216336,7/22/16,27,224.5,19026,118.0,2,2,1,2,4,1998,3,2,0.5,0,1,0,6,1
44,116.60292,39.909042,8/30/16,94,435.0,49505,87.87,2,1,1,1,3,2011,1,6,0.667,1,0,0,7,4
45,116.324898,39.891441,9/5/16,47,410.0,53178,77.1,3,1,1,1,1,1991,3,6,0.25,1,1,1,2,5
46,116.232119,40.223852,9/4/16,41,240.0,28784,83.38,1,1,1,1,1,2009,3,6,0.14300000000000002,1,0,1,6,2
47,116.683117,40.127185,8/26/16,61,470.0,32879,142.95,3,2,1,2,4,2004,4,2,0.5,1,1,0,13,3
48,116.45831000000001,39.923421999999995,8/24/16,67,355.0,57677,61.55,1,0,1,1,1,2008,4,6,0.231,1,1,1,7,5
49,116.42247900000001,40.06389,7/31/16,59,190.0,31240,60.82,1,1,1,1,1,2004,3,6,0.15,1,1,1,6,3
50,116.25421200000001,40.216336,8/31/16,41,321.0,20523,156.41,3,1,1,2,4,2001,4,6,0.25,0,0,0,6,2
51,116.318694,40.087485,7/4/16,65,350.0,27853,125.66,3,1,1,2,4,2008,3,6,0.5,1,1,0,6,2
